PersonnelCode;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
101488;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;TRIBUDAT TABLET;9701,075771;4379,31;45,14251928
101490;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;EVASIF;115607,6152;93363,15;80,75865056
101490;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;SIDATRIA;76796,06468;42307,59;55,09083073
101490;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ZENTICAVIR;53778,45927;35684,92;66,35541532
101493;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLUREND;31135,90873;25926,28;83,26810124
101493;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ILIADIN;227574,9745;229105,93;100,6727258
101493;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MAGNIS;16632,51798;13076,7;78,62128882
101498;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLUREND;53182,84903;47070,96;88,50778185
101498;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ILIADIN;328803,4469;380565,74;115,7426249
101498;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MAGNIS;14612,67837;6770,4;46,33236855
101507;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ETKINIA;30798,84026;19799,52;64,28657648
101507;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;SECITA;195963,4921;147996,72;75,5225978
101541;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLUREND;36482,76809;30051,8;82,37258731
101541;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ILIADIN;236542,7904;200866,58;84,9176505
101541;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MAGNIS;11341,23263;9363,9;82,56509945
101542;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ACETUDIL;61176,97876;38450,25;62,85084811
101542;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;APIKOBAL PLUS;25900,78076;29570,14;114,1669831
101542;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLEXO GRUP;177813,0502;140451,9;78,98852184
101542;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;TRIBUDAT TABLET;12667,63564;7966,24;62,88655775
101543;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;DULOXX;121551,7599;145393,9004;119,6148048
101543;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;GYREX;235837,741;252465,47;107,0504953
101543;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;PHOCUSS;48595,1382;54610,95;112,379452
101546;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ACETUDIL;51190,3807;24050,91;46,98326067
101546;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;APIKOBAL PLUS;24165,9938;16764,41;69,37190393
101546;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLEXO GRUP;93058,37417;63189,2;67,90275519
101546;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;TRIBUDAT TABLET;11647,66237;4256,46;36,54346998
101547;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;BRONCHOREST;25624,57462;8001;31,22393296
101547;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;DICLOFLAM;148010,0114;137349,12;92,79718225
101547;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;PARAFON/X;164378,3828;167216,42;101,726527
101548;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ETKINIA;34418,25216;16586,44;48,19082597
101548;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;SECITA;149886,8463;113644,18;75,81998206
101549;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ELEKTRA PLUS JEL;121838,9141;130905,08;107,4411086
101549;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;HIRUDOID;147098,018;99874,73011;67,89672049
101549;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MODET;61593,53997;64557,92;104,81281
101552;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLUREND;24680,73971;15100,96;61,1852002
101552;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ILIADIN;130260,0367;112017,77;85,9955001
101552;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MAGNIS;14254,82987;4559,1;31,982844
101553;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;EVASIF;78072,63088;57196,65;73,26082054
101553;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;SIDATRIA;128697,2819;105004,38;81,590208
101553;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ZENTICAVIR;37458,97382;24656,14;65,8217177
101555;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ACETUDIL;51628,16082;11382,76;22,04757989
101555;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;APIKOBAL PLUS;29752,37311;30199,93;101,5042729
101555;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLEXO GRUP;121057,195;56863,34;46,97229271
101555;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;TRIBUDAT TABLET;12649,05835;6579,48;52,01557159
101558;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ELEKTRA PLUS JEL;134302,1983;160722,72;119,6724417
101558;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;HIRUDOID;131129,287;131112,0502;99,98685514
101558;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MODET;33131,74498;31410,57;94,80505785
101559;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLUREND;36311,64704;44146,4;121,5764186
101559;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ILIADIN;151938,6071;169829,68;111,7751987
101559;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MAGNIS;14785,79432;16147,95;109,2125973
