Çalışan Sicil No;Gösterge Adı;Periyod;Ürün;Planlanan;Gerçekleşen;Sonuç 
100103;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;137382,95;151470,70;127,51
102376;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;173906,76;191904,26;127,62
101806;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;224307,82;167808,64;86,52
102123;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;262210,46;279590,91;123,32
101915;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;184734,42;193131,42;120,91
102290;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;286348,75;295678,87;119,42
100467;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;172013,40;150562,10;101,23
101463;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;129589,44;138618,58;123,71
100462;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;186123,61;105189,91;65,36
100272;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;167204,21;150600,22;104,17
100496;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;180524,14;201664,66;129,19
100360;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;260658,66;212022,82;94,07
101917;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;178092,14;106517,96;69,17
102274;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;211519,13;193100,70;105,58
100727;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;153772,84;205757,31;154,75
101804;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;159698,11;154503,08;111,89
100538;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;380709,34;678039,03;205,97
101919;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;102361,09;162460,41;183,55
100356;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;195803,67;192066,52;113,44
101692;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;253999,48;215908,98;98,31
102291;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;229189,30;206322,26;104,11
100466;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;268847,11;339403,96;146,00
100487;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;83470,13;75431,06;104,51
100574;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;155573,56;103513,79;76,95
102124;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;127548,80;156826,53;142,20
100864;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;75405,60;49529,82;75,96
102387;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;176648,92;122311,03;80,08
101798;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;107368,39;58941,14;63,49
100720;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;156328,64;160995,29;119,10
100581;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;185439,62;124312,62;77,53
100444;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;180732,53;119937,50;76,75
100247;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;193586,89;216962,36;129,62
101655;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;136478,73;135761,36;115,04
100361;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;259310,64;258838,47;115,44
102265;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;243687,16;207948,45;98,69
101659;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;126331,06;118028,51;108,05
102287;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;151638,99;120046,75;91,56
101920;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;173197,87;199889,74;133,47
100947;TSMv3 - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ELEKTRA PLUS JEL;197865,34;168545,75;98,51
