PersonnelCode;Gösterge Adý;Periyot;Ürün;Planlanan;Gerçekleþen;Sonuç 
100718;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;664024,38;823022,64;123,94
100718;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;532401,73;691256,83;129,84
101267;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;50193,84;26650,77;53,10
101267;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;292871,20;229629,57;78,41
101267;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;290990,17;274233,02;94,24
101816;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;32286,97;20830,45;64,52
101816;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;377943,81;362022,79;95,79
101816;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;244412,27;263660,14;107,88
101932;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;43811,69;30264,73;69,08
101932;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;312170,02;258949,11;82,95
101932;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;316800,26;394738,07;124,60
100862;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;78325,34;84834,85;108,31
100862;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;541086,31;535073,43;98,89
100862;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;384417,40;311146,52;80,94
101663;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;60580,88;67270,56;111,04
101663;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;362072,11;285244,11;78,78
