Çal??an Sicil No;Gösterge Ad? ;Periyot;Ürün;Planlanan;Gerçekle?en;Sonuç 
101684;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA  ;70634,96;50727,97;71,82
101684;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SAYFREN;23587,09;16588,53;70,33
101684;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SECITA;231904,61;212342,38;91,56
101685;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA  ;42072,10;21617,73;51,38
101685;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SAYFREN;16252,76;2727,21;16,78
101685;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SECITA;135378,93;99535,62;73,52
101686;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA  ;32734,01;47440,86;144,93
101686;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SAYFREN;12721,34;14205,45;111,67
101686;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SECITA;170717,71;190543,33;111,61
101688;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS  ;17106,56;17682,05;103,36
