Çalışan Sicil No;Gösterge Adı ;Periyod;Hedef Ürün;Planlanan;Gerçekleşen;Sonuç 
100297;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;GYREX;5609493,288;6259184,2;114,819228
100458;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PHOCUSS;1181167,836;1022069,495;100,3910751
100295;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PHOCUSS;1359157,995;1029694,07;87,89507852
100586;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PHOCUSS;1027760,661;688740,88;77,7481675
100659;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PHOCUSS;1309411,913;953904,585;84,5191147
100115;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PHOCUSS;972862,8583;915295,805;109,1531164
100268;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PHOCUSS;1013986,596;999857,35;114,4016058
100311;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PHOCUSS;959987,9831;1077952,49;130,2747098
100297;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PHOCUSS;463303,2372;518955,91;129,9545287
100458;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;SECİTA;4389476,748;4448774,79;101,1612073
100295;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;SECİTA;5399731,537;4979430,22;92,04364698
100586;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;SECİTA;5110854,586;4728107,36;92,33793125
100659;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;SECİTA;5483808,565;5022252,08;91,41186242
100115;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;SECİTA;4129188,643;4572448,52;110,5275227
100268;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;SECİTA;3479029,751;3622598,57;103,9317893
100311;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;SECİTA;3978298,844;4379206,81;109,8713314
100297;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;SECİTA;2596792,579;3023274,05;116,2054751
100389;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;842769,9218;509585,89;71,7881662
100377;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;590969,1113;550938,6;110,6835072
100008;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;695495,8177;530306,39;90,5267294
100285;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;BRONCHOREST;936648,1789;492697,97;62,45234822
